channel,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_length_um,channel_width_um,channel_height_um,delta_length_um,delta_width_um,delta_height_um,dim_error,flow_rate,perfect nominal flow rate
246,100,81.2,69.6,151,39940,510,504.0821333,10.78162552,15.00614595,5.050281783,0.00003570883632,0.127773,
247,100,82.4,70,157,40055,504.5664067,510,7.092627331,17.1285971,22.11734605,0.0004066630861,0.11811126,
248,100,83.5,70.5,163,39940,510,507.0383782,4.581061109,18.71870545,12.03927545,0.0001355686299,0.1222464,
249,100,83.2,69.4,169,40050.3756,510,510,10.31189193,9.379127861,14.43765586,0.00002710542497,0.12583884,
250,100,82.6,70.6,175,40050.08924,510,510,3.431754698,13.41995578,7.623432292,0.00002357908741,0.12730434,
251,50,78.9,70.1,1,39940,510,504.5674962,2.989957455,9.726524755,7.544937216,0.00001274653632,0.1293246,
252,50,77.7,70.9,7,40055,510,505.8979846,13.10135686,6.933266592,19.54338494,0.0002611681335,0.12457716,
253,50,78.9,70.1,13,40055,506.9367854,510,9.226576048,5.295327344,4.012799155,0.0000518244458,0.13357116,
254,50,80.1,69.4,19,39940,510,507.1050663,25.84159696,25.14813141,4.598351114,0.0003158678373,0.12264834,
255,50,80.5,69.6,25,40055,510,504.3898025,11.11494786,21.95467288,-2.016196335,0.0002456692613,0.12758064,
256,50,80,69.8,31,39940,510,503.9145083,9.566723328,-0.8082327198,11.15632436,0.0002266906268,0.13295976,
257,50,81.8,69.6,37,40055,507.8887042,506.8394602,7.50276343,5.251484002,5.448348622,0.00001232349327,0.13281408,
258,50,79.9,69.2,43,39953.10256,510,505.1813582,7.109856978,0.7476159135,9.790460452,0.0001430749105,0.13287846,
259,50,81.3,69,49,39990.577,510,509.0397841,2.274547344,20.26180042,19.95245537,0.0002992164286,0.11761734,
260,50,81.5,69.6,55,39964.71519,510,510,12.70916257,3.118808333,3.263421412,0.0001241229326,0.13519062,
261,50,82.5,69.8,61,39940,510,502.1282688,4.990515674,19.13142208,12.13688737,0.0002456203717,0.12198444,
262,50,83.9,69.7,67,40055,510,508.3802665,14.15558567,11.82241321,10.14460739,0.000008926340441,0.12682338,
263,50,86,69.8,73,39940,510,505.715121,10.74930485,13.50334293,20.12211195,0.0002941558721,0.1209573,
264,50,85.6,69.7,79,40055,506.7510304,504.8067465,18.84514853,15.35854312,19.7040086,0.0003949625856,0,
265,50,87.4,69,85,39940,510,502.5281605,7.284355428,27.11374938,9.821992987,0.0004623837107,0.1190067,
266,50,85.1,70.5,91,40055,510,505.5996756,7.475482137,15.06773598,4.167325295,0.00003744863817,0.12818478,
267,50,82.5,70.1,97,40055,510,504.882781,6.759228045,11.92516811,8.630972639,0.00002415844456,0.12755082,
268,50,84.1,70.5,103,39940,510,506.8419377,0.2895918737,20.26833084,14.10215359,0.0002116230619,0.12042498,
269,50,81.5,69.2,109,40055,510,510,12.30747835,14.42583008,15.50608758,0.00006691968217,0.1227027,
270,50,82.1,69.3,115,40055,510,508.8357276,5.637692312,16.39728841,16.82094812,0.0001400930283,0.12117186,
271,50,83,69.3,121,40055,510,507.526269,2.326355644,6.436444645,7.080813204,0.00001777450033,0.13129008,
272,50,80.8,69.7,127,40055,510,509.4067093,6.732283154,16.38096752,23.86891894,0.0003336483759,0.1176114,
273,50,78,69.7,133,40055,510,507.9940604,16.73020446,10.28889917,23.79929394,0.0003334902799,0,
274,50,78.8,70.7,139,40055,510,510,16.64007341,2.907229784,9.771712989,0.00006745256488,0.13181106,
275,50,80,70.7,145,40055,510,510,14.26942164,13.49082368,0.4837816518,0.0001373379697,0.13096884,
276,50,80.8,70.9,151,40055,510,506.9116021,5.067628792,9.745059264,11.55609054,0.00002936778167,0.12715746,
277,50,81.6,69.4,157,40055,510,508.131592,6.442478921,9.712549702,6.662988763,0.000003477112742,0.12975606,
278,50,79.8,70.1,163,40055,510,510,15.60595539,11.35092977,7.316820455,0.00001235592884,0.12858576,
279,50,79.9,70.7,169,40055,510,510,9.560254203,3.579142246,6.704760394,0.000069878185,0.13304406,
280,50,82.4,70.7,175,40055,510,506.6795434,12.82121529,10.11521252,2.318668181,0.00002574464379,0.13186344,
281,50,80.6,69.1,1,40055,510,510,13.46978171,13.46127302,4.039266209,0.00006370700242,0.12913452,
282,50,81.2,70.9,7,40055,510,506.5857493,16.51952047,13.71992574,11.25220593,0.00004779337505,0.12530784,
283,50,80.4,70.8,13,39940.38524,510,505.8425753,17.96185234,-0.009947216235,13.68573338,0.000216872674,0.13121178,
284,50,79.7,69.6,19,40055,510,507.7766557,10.80842378,0.7054837728,15.44150059,0.0001939240253,0.1297893,
285,50,82.1,70.7,25,40055,507.898653,510,9.085171331,16.08657265,12.31988657,0.00009700440519,0.12347016,
286,50,80.9,70.5,31,40055,505.7253953,507.7280556,12.15097867,20.1913972,16.51364671,0.0003823182695,0.11940174,
287,50,81.3,69.9,37,40001.6944,510,504.5355743,3.638320289,13.09807767,5.549935901,0.00001417014021,0.12856206,
288,50,83.3,70.6,43,40055,507.6132668,507.0790665,9.150290663,11.58946087,6.816239566,0.00002161022071,0.12867498,
289,50,85.5,70.5,49,40055,510,507.1359773,4.585790608,25.02360571,10.86151555,0.0003199806504,0.1195671,
290,50,87.7,69.8,55,39944.97004,510,509.0797236,-0.01641561724,11.61023561,12.40469851,0.00001882827433,0.1257609,
291,50,88.7,69.6,61,40055,510,507.2132725,13.85084799,9.703941802,9.689643815,0.000008646181588,0.1281768,
292,50,89.7,69.9,67,40055,510,510,10.76879083,-0.4432308558,16.58750321,0.000203682609,0.12995988,
293,50,87.4,69.7,73,40055,510,505.1907807,5.9866413,7.575160785,-0.754049993,0.00005546162377,0.13487256,
294,50,86.8,69.1,79,40055,510,508.5530325,9.577452224,6.3533897,17.23869265,0.0001187477809,0.1260831,
295,50,85.4,69.4,85,40055,506.9801512,507.0728144,19.08297057,4.609368171,11.3270072,0.00003189378118,0.13006014,
296,50,86,70.9,91,40055,510,507.9745611,7.410706455,10.15854219,16.04837292,0.00008742058408,0.12475716,
297,50,88,69.2,97,40055,510,507.9120948,5.07639163,4.944259224,6.792422225,0.00003627148498,0.13225974,
298,50,88.2,70.4,103,39966.78045,510,507.2730798,17.02360579,11.90149551,14.29986038,0.00007118101877,0.12467298,
299,50,89.9,69.3,109,40055,510,507.4212699,12.69258313,-2.441845799,1.142251412,0.000259340367,0.13946298,
300,50,90.9,70,115,40055,510,507.1245688,12.41916431,18.54200419,13.30753999,0.0001486376932,0.1216974,
301,50,90.1,70.8,121,40055,510,507.4721781,8.123723169,19.21546723,15.55426099,0.0002007843213,0.12023622,
302,50,90.1,70.4,127,40055,510,507.1861545,18.51614601,24.84215093,23.7436533,0.000659530922,0,
303,50,89.5,70.8,133,40055,510,503.9939002,13.82044517,21.73795324,8.310782702,0.0002089066437,0.12254238,
304,50,89.4,70.4,139,40055,510,506.4183282,12.24507058,21.35957182,23.18698541,0.0005473511451,0.11550126,
305,50,88,70.3,145,40055,510,510,11.82770526,16.60918912,15.12167066,0.00009360548981,0.12178338,
306,50,86.8,70.8,151,40055,510,505.8406086,1.342356909,4.784787326,9.670362235,0.00005642042912,0.13082454,
307,50,87.9,69.6,157,40055,510,510,9.54406378,5.375949491,2.256873184,0.0001088809418,0.13447902,
308,50,88.7,70.8,163,40055,510,510,12.09444341,5.086697954,12.31033223,0.00003968774745,0.12920862,
309,50,88.7,70.7,169,39940,510,509.5399801,9.442280894,17.19886268,16.80865791,0.0001405476983,0,
310,50,88.1,70.3,175,40055,505.3719222,509.9629907,17.73521914,18.25126993,12.84682198,0.00023254808,0.12210672,
311,100,80.3,69.3,1,40055,510,507.2291601,11.56927145,18.73959326,4.873406353,0.000109633052,0.12585168,
312,100,80.3,69.6,7,40055,510,510,14.31926417,14.39723074,19.34484268,0.0001425604061,0.12090894,
313,100,81.3,69.8,13,39940,510,509.6665425,-3.22336193,6.745084465,1.856435868,0.00009612790235,0.13399476,
314,100,83,70.8,19,39940,510,508.2180954,11.91575119,9.492573011,15.39916984,0.00007017789055,0.1252836,
315,100,83.1,69.6,25,39940,510,507.8719103,15.84865758,2.062963969,15.53411608,0.0001634731298,0.12910536,
316,100,81.3,70.4,31,40055,510,510,14.71460588,6.921582847,9.081691732,0.00001409802986,0.1300062,
317,100,81.9,69.3,37,40055,510,507.7555941,4.449707392,10.75946233,4.875290755,0.00001236293469,0.1301475,
318,100,83.7,69.9,43,39993.16396,510,510,6.068150289,9.29943694,8.675481679,0.000003028207768,0.1289202,
319,100,83.4,70.4,49,39940,510,506.5008851,12.64330356,19.09840573,19.46456894,0.0003355501674,0.11848572,
320,100,85.1,70,55,40055,510,508.0801219,1.94404293,10.7366186,9.194239361,0.000002964930815,0.12791484,
321,100,84.6,70,61,40055,507.0383216,508.373716,23.63048147,7.181805472,15.69860889,0.00007177120194,0.12648834,
322,100,84.8,69.1,67,40055,510,510,9.054502004,27.80768544,16.0842944,0.0004726161882,0.11575782,
323,100,83.4,69.8,73,40055,510,508.2308483,12.96179573,15.92717593,17.07156981,0.0001514211975,0.12129006,
324,100,84.9,70.4,79,39940,510,510,5.927490651,13.70091085,5.607191575,0.00004489684974,0.12818016,
325,100,87.7,69.8,85,40055,510,510,15.20176273,5.888019349,11.67729287,0.00002662557412,0.1291875,
326,100,85,70.7,91,40055,510,510,8.215972431,23.17429135,16.90065524,0.0002953639824,0.11769648,
327,100,83.1,70.4,97,40055,510,506.6837281,9.214689152,12.77744473,6.479109495,0.00001077815211,0.12821592,
328,100,80.9,69.5,103,39940,510,510,10.078369,4.02277174,1.451651344,0.0001460918169,0.1356726,
329,100,81.7,70.4,109,40029.14813,510,510,6.35857737,3.367792466,11.91018998,0.00006362153746,0.1303152,
330,100,83.3,70.6,115,40055,510,510,11.74133019,7.860169481,12.12180602,0.00001249777068,0.12785334,
331,100,83,70.9,121,40055,510,510,15.34316189,0.3265633744,5.21428708,0.0001556322042,0.13572852,
332,100,82.5,70.9,127,40055,509.9797059,510,9.142072779,-2.073398763,12.08046276,0.0001999123243,0.13311474,
333,100,83.6,69.6,133,40055,510,509.6323178,16.22324615,17.93070691,6.717558024,0.0000955025064,0.12539754,
334,100,83.7,69.8,139,40055,510,509.4993025,7.063901281,17.83234312,21.79805094,0.0002839518058,0.117927,
335,100,85.8,69.6,145,39940,510,507.5076672,7.321921096,4.007495688,11.91570079,0.00007473204088,0.12998538,
336,100,86.7,69,151,39940,510,510,2.477332921,6.010628293,6.308648375,0.00004020142982,0.13193772,
337,100,87.6,70.9,157,40055,510,510,7.464654077,14.03260384,17.65023512,0.0001001880735,0.12194598,
338,100,88.6,70.9,163,40055,510,507.7131964,9.59675505,16.92950276,13.41530913,0.0001078056008,0.12247992,
339,100,87.9,70.9,169,40055,510,508.8191955,4.784299715,10.76818097,10.45238533,0.000004868551577,0.12720144,
340,100,90.9,70.8,175,39940,510,510,5.017570716,11.15069161,0.9222461967,0.0001125202913,0.13199328,
341,100,89.8,71,181,39940,510,509.0019589,9.769451339,13.05197759,12.77268098,0.00003239133589,0.12480966,
342,100,89,70.6,187,39940,510,510,-5.411004188,8.264577015,13.01654527,0.00001676914243,0.12717744,
343,100,89,70.4,193,40055,510,508.9167519,14.47361852,-2.532724825,15.39764913,0.0002657704587,0.131505,
344,100,90.7,70.6,199,40055,510,506.7964765,8.32017089,10.35178159,3.861789483,0.00001210214416,0.1309011,
345,100,91,70.3,205,39940,510,510,0.4419008494,18.70387808,1.307965522,0.0002025063641,0.12767394,
346,100,91.2,69.3,211,39972.36567,510,510,13.43976392,12.67714364,21.20782981,0.0001773948714,0.1208226,
347,100,91.9,69.4,217,40055,510,510,6.949620984,15.32649336,14.17685427,0.00006157119901,0.12290484,
348,100,94.9,70.9,223,40055,510,506.2945751,10.06387536,10.22741544,2.960310168,0.00001531273168,0.13144536,
349,100,94.4,69.9,229,40055,510,507.5709144,12.97964966,20.57409868,10.28517972,0.0001592729217,0.12216384,
350,100,94.3,69.4,235,39940,510,508.5161616,8.693944908,16.45882189,3.917073237,0.00008480708696,0.12756924,
351,100,94.6,69,241,39940,510,510,5.86439827,3.965097298,4.298295553,0.00009280975375,0.13413912,
352,100,96.3,70.9,247,40055,510,510,2.521297733,12.40707464,18.38795618,0.0001021095093,0.12236118,
353,100,99.1,70.3,253,39940,510,510,4.216814837,8.716801618,10.56871565,0.000003485838961,0.12821688,
354,100,98.9,69.9,259,40050.34665,510,510,7.670089465,13.13685574,9.590847837,0.00001372246099,0.12641154,
355,100,100,69.3,265,39940,510,510,10.95681479,16.27756007,16.53257848,0.0001104920537,0.12138138,
356,100,100,70.4,271,39940,510,510,12.23546509,24.93562933,15.80235064,0.0003434074708,0.11733654,
357,100,98.1,71,277,40055,510,510,8.914386489,21.22775448,9.488177608,0.000168875053,0.12222546,
358,100,99.1,69.3,283,40055,510,510,4.84101071,16.44818414,13.79945873,0.0000752107714,0.12254382,
359,100,100,70.6,289,40055,510,510,14.50706852,8.073582892,9.895069248,0.000005304390595,0.12893148,
360,100,100,70.8,295,39945.18296,510,506.6606582,10.66797299,7.021637683,8.565810744,0.00001756039071,0.13018998,
361,100,79.4,69.5,1,39940,510,508.3201028,28.71498418,10.91774195,15.17733811,0.00006545822448,0.12475116,
362,100,76.6,70,7,40055,510,509.1387008,7.531035622,4.626517933,17.19081201,0.0001254171782,0.12699444,
363,100,79.9,69.2,13,39940,510,506.4517713,4.364713204,6.330646764,11.2544216,0.00004956922424,0.1291029,
364,100,77.5,70.9,19,39940,510,510,4.360662072,6.98869409,7.396698008,0.00002198983748,0.13082646,
365,100,78.3,69.6,25,40055,510,508.3727845,16.21168161,1.923550765,1.810983003,0.0001446951389,0.13675086,
366,100,80.1,69.9,31,40055,508.6409475,507.8493406,16.71447109,15.75199554,8.186728752,0.00006787981695,0.12579078,
367,100,80.5,70.8,37,40005.59756,510,508.8051516,16.81818834,18.39434725,14.34164457,0.0001348499899,0.1212843,
368,100,78.1,69.9,43,40055,510,510,8.962946809,0.9537499279,2.514205854,0.0001842705496,0.13679472,
369,100,79.5,70,49,40055,510,507.7347654,9.221295735,10.37491737,3.818815078,0.00002107024205,0.13090986,
370,100,78.5,69.7,55,40028.4388,507.6756541,507.1977253,-0.6106397657,7.488319328,9.224698129,0.000005700757289,0.12960732,
371,100,76.7,69.2,61,40055,510,510,6.224700139,11.8616037,18.7836111,0.0001079854875,0.12241446,
372,100,75.5,69.7,67,40055,510,510,4.193037477,10.20175281,5.710862576,0.0000251209861,0.13000452,
373,100,75.5,69.8,73,39940,510,509.3595354,2.342432193,8.189040923,26.07913119,0.0003779089769,0.12047994,
374,100,75.1,69.6,79,40055,510,508.8982008,13.57540297,7.95922844,13.07981405,0.00002922501656,0.12730656,
375,100,76.3,69.7,85,40055,510,507.7658568,3.32571296,14.56834676,3.973167643,0.0000475620094,0.12856746,
376,100,76.2,69.1,91,39940,510,510,6.503221666,13.81786149,-0.6182998022,0.0001706872008,0.13133508,
377,100,77.1,69.5,97,40055,510,506.0285034,19.74010863,6.763777588,9.193155371,0.00002757655616,0.130071,
378,100,79.5,70.6,103,40055,510,510,7.961940841,4.402968756,11.41569362,0.00004490221684,0.13004496,
379,100,77.5,70.5,109,40055,510,507.1757482,11.04594547,14.88186023,5.453011966,0.00003613633064,0.12762678,
380,100,76.3,69,115,40055,510,508.3027556,6.64488064,21.23275511,0.9106535457,0.0002415777432,0.12650064,
381,100,75.1,70,121,40055,510,508.936734,21.4027059,5.014954084,19.69315174,0.0001876367702,0.13000878,
382,100,73.8,70.3,127,40055,510,508.0126552,3.529407789,21.75590813,7.391824021,0.000185334331,0.12298614,
383,100,73.9,70.2,133,40055,510,510,10.09838575,23.09830386,12.40441422,0.0002368823945,0.11983074,
384,100,73.9,69.7,139,40055,510,509.680145,7.071531384,10.20438354,4.713952751,0.00003341835515,0.13052478,
385,100,74.8,70,145,40055,510,510,11.42890766,10.7304529,22.30688267,0.0002030527384,0.12117036,
386,100,77.2,69.2,151,40055,510,508.3615189,5.785518317,10.35696139,1.186024076,0.00006932479344,0.13229844,
387,100,74.9,69.2,157,40055,510,510,10.68662961,16.43497906,12.88133967,0.00006669053068,0.12301188,
388,100,73.4,69.3,163,40055,510,510,9.725886841,1.239594102,20.62881137,0.0002533821537,0.12685728,
389,100,75.7,70.9,169,40055,510,507.0199051,-0.2318486694,8.647671887,14.56092906,0.00007889664501,0.12616056,
390,100,76.4,69.5,175,40055,510,508.4566875,4.791885224,4.992596296,2.030594148,0.00008901686745,0.134802,
391,100,78.3,69.5,181,39940,510,510,13.77391923,5.224237025,14.22776927,0.00005537646654,0.12810396,
392,100,77.1,69.5,187,40055,510,510,14.51128159,6.200665775,18.36547288,0.0001128962979,0.12557604,
393,100,74.5,69.6,193,40055,510,510,23.58928717,14.32209498,5.842602622,0.00004815815911,0.12780954,
394,100,73.9,69,199,40055,510,509.3543087,10.82767049,1.66207876,13.41536528,0.0001150906475,0.13039758,
395,100,71.1,70.4,205,40034.79163,510,510,3.386996236,2.229714247,6.970258945,0.00009294769771,0.13363476,
396,100,71.4,70,211,40055,510,506.9463455,8.275522847,0.2285698372,9.056178547,0.000133697819,0.1335726,
397,100,69.9,70.6,217,39940,510,510,11.13207709,3.690083468,2.585795451,0.0001274347536,0.13524246,
398,100,66.8,69.4,223,40055,510,509.2106562,14.09753718,7.560730113,13.26556907,0.00003020501821,0.12740514,
399,100,66,69.2,229,39940,510,508.4046574,18.66119229,28.56035101,-3.030180926,0.0006349452892,0.12449346,
400,100,67.6,69.6,235,40055,510,510,11.27452762,22.8831944,5.550381558,0.0002480993857,0.12330792,
401,100,64.4,69.3,241,40055,510,510,10.85090184,8.527304877,10.52037648,0.000003658901569,0.12835218,
402,100,66.1,69.3,247,40055,510,508.3482794,-2.067195327,6.135272849,9.786642273,0.00002335181025,0.13003524,
403,100,65.9,70.1,253,40055,510,510,9.375490549,7.139863702,9.943065531,0.00001134516071,0.12938568,
404,100,64.6,70.4,259,40055,510,509.7508544,6.391771721,7.307847151,10.02319595,0.00001025471746,0.12925686,
405,100,63,69.6,265,40055,510,510,15.19112907,16.23630265,4.234110264,0.00009651276236,0.1275675,
406,100,63.3,70.3,271,40055,510,509.9916986,6.205307347,14.77013771,15.31547854,0.00006862515395,0.12263214,
407,100,63.1,69.9,277,40055,510,510,5.432655994,0.5953480261,12.69766267,0.0001281450088,0.13136022,
408,100,61.4,70.4,283,40055,510,508.4560608,7.972350391,3.9578966,8.553233493,0.00004914935801,0.13182522,
409,100,60,69.7,289,40055,510,508.7651353,1.834412841,-2.365864904,-4.336342543,0.0004333399859,0.14251914,
410,100,61.5,70.7,295,40055,510,510,8.8944264,14.64416943,18.35547278,0.0001222858391,0.12127674,
411,50,80.5,69.1,1,39940,510,510,13.09072224,5.031052025,1.68793223,0.000126154189,0.13499922,
412,50,80.5,70,7,40032.57266,510,510,15.59290733,16.20046342,4.726098825,0.00008840643864,0.12733404,
413,50,80.9,70.5,13,39983.88539,510,505.8079657,1.011111297,17.81507423,6.758074982,0.00008269855928,0.1253901,
414,50,81,70.8,19,40055,510,508.6025931,14.51123266,1.703601122,21.16073529,0.0003023910899,0.12635016,
415,50,80.9,69.4,25,39954.08674,510,506.7205601,7.714300828,0.2489557933,9.991394821,0.00014164078,0.1330485,
416,50,82.1,70.4,31,40055,510,510,1.826604636,20.48097156,-0.4531892012,0.0002927489495,0.12760002,
417,50,83.9,69.4,37,40055,510,505.7589318,7.86305828,0.2466681149,8.025788355,0.0001341510561,0.13412976,
418,50,84.4,69.7,43,40055,508.3856399,505.1100432,4.296916499,17.62031161,7.560940526,0.0001222503303,0.12509136,
419,50,85.5,70.3,49,40055,510,507.9162455,16.76009489,13.19331312,13.12900425,0.00005013144745,0.12461184,
420,50,84.5,69.5,55,40037.62827,510,505.7220204,3.586929021,15.61815097,17.09668989,0.0002148370552,0.1214019,
421,50,85.8,69.7,61,40055,510,510,16.16186525,20.837298,1.790319656,0.0002467754226,0.12632922,
422,50,86.6,69.2,67,39940,510,503.888714,11.71045268,9.400119465,9.279976537,0.00004030542203,0.1285557,
423,50,84.7,69.4,73,40055,510,506.5082751,13.82732905,18.65279326,3.286447091,0.0001140211736,0.12670182,
424,50,86.1,69.2,79,40055,510,510,10.56692981,3.584600447,9.465062615,0.0000556693246,0.13153626,
425,50,86.3,69.6,85,40055,510,506.8901208,13.09198287,19.95738023,6.035679462,0.0001335385468,0.12461826,
426,50,87.8,69.5,91,40055,510,507.9443131,8.168987487,15.56782771,8.227877442,0.00004189839047,0.12582642,
427,50,84.8,69.3,97,40055,510,507.3655787,10.51807798,7.100551171,10.85332006,0.00002784040803,0.1289244,
428,50,84.6,70.4,103,39940.24316,510,507.2809751,15.4885902,0.4999012476,12.20566983,0.0001538522166,0.13175802,
429,50,84,70.6,109,39982.01538,510,505.1211749,12.82459696,13.37139293,12.58224094,0.00008957614746,0.1247478,
430,50,85.4,70.8,115,40055,510,508.4239024,7.785588057,21.38464422,8.69174348,0.0001733735674,0.122538,
431,50,86.3,70.1,121,40055,510,510,13.54413146,17.54443347,6.247544365,0.00009502390558,0.1257942,
432,50,89.1,69,127,40055,510,509.4798906,4.641828881,10.63874195,11.08350996,0.000004501103709,0.12693804,
433,50,90.6,69.7,133,39940,510,507.692574,5.176817601,12.56099407,2.362403217,0.00004751088498,0.1305123,
434,50,93.1,70.6,139,40055,510,508.5412768,14.48575407,8.060338297,2.931125664,0.00004732340292,0.13266294,
435,50,93,70.1,145,40055,510,504.2321015,11.28294594,14.73995406,10.53897281,0.00008338988259,0.12508494,
436,50,93.7,70.8,151,40055,510,505.836873,10.8316672,6.196260798,25.83340738,0.000552846186,0.12156666,
437,50,92.7,70.7,157,40055,510,509.5210719,9.774413782,12.95937492,4.614904233,0.0000441972897,0.12909498,
438,50,94.7,69.3,163,40055,510,509.5337209,-2.623372587,4.985210246,8.880880599,0.00003479085,0.13114626,
439,50,95.8,69.3,169,40055,510,510,11.77585071,-5.551065061,8.093163733,0.0003276847669,0.13722924,
440,50,97.8,70.5,175,40055,510,510,12.25440366,5.364512057,-1.06516335,0.0001922814483,0.13630962,
441,50,99.6,70.9,181,40055,510,506.5506163,3.756726777,-0.09343139245,22.00215905,0.0004547170994,0.12675894,
442,50,99.8,69.9,187,40055,510,510,18.06475621,10.41478551,15.29232657,0.00003785856764,0.1249245,
443,50,98.2,69.7,193,40055,510,508.5140002,14.89975364,17.82849703,17.99518331,0.0002019059392,0,
444,50,98.1,70.9,199,40055,510,508.4054845,9.057362894,21.27796688,16.36659307,0.0002545354492,0.1189203,
445,50,96.4,69.5,205,39993.65227,510,507.5693572,16.61898608,9.763225925,0.9577534148,0.00005846904492,0.13286754,
446,50,93.8,70,211,40055,510,505.5247456,9.3736315,20.28976708,5.434762249,0.000141616906,0.1247352,
447,50,94.1,71,217,40055,510,507.9262541,6.532822401,7.267404043,20.51645019,0.0002217962147,0.12382566,
448,50,93.2,70,223,40055,510,497.9520805,11.57764036,17.95870345,5.996839784,0.0001711382969,0.12569742,
449,50,94.3,70.6,229,39940,510,509.0490366,13.54255417,9.265476621,7.976610918,0.000003379600996,0.12931842,
450,50,95.1,69,235,40055,510,506.7114145,11.42701644,11.16057198,5.765167142,0.000003385291156,0.12946758,
451,50,95.5,70.2,241,39940,510,505.3162568,6.887458961,14.91866601,9.931785563,0.00006159391057,0.12529536,
452,50,95.7,70.9,247,39940,510,505.4806298,12.25381128,14.61417494,17.76023931,0.0002305268538,0.12160476,
453,50,93.2,71,253,40003.05561,510,509.4494226,2.872049395,22.84055948,7.068850918,0.0002273961265,0.12258366,
454,50,91,69.6,259,39940,510,508.4159457,-0.3340513761,19.00910976,9.837310292,0.0001116541198,0.12319746,
455,50,90.1,70.5,265,40055,510,509.7634714,10.73142995,16.9995819,8.684153957,0.00006728703595,0.12484698,
456,50,87.6,69.4,271,40055,508.4455333,509.9793155,6.038211504,3.009528624,8.910262015,0.00004142345845,0.132144,
457,50,87.2,70.5,277,39940,510,509.4415865,4.740467201,14.67378961,10.8686704,0.00003271436379,0.1249638,
458,50,87.4,70.4,283,40055,510,510,5.149648844,-4.459249378,4.909438291,0.0003138293351,0.13844496,
459,50,87.6,70,289,39940,510,510,19.3364835,12.42809318,8.841601499,0.00001096133926,0.12726402,
460,50,86.8,70.6,295,40055,510,510,7.761279653,12.2903334,12.50941119,0.00001585525726,0.12533694,
461,50,79.4,69.8,1,39972.29205,510,508.9031282,13.83982636,11.77380058,7.748974255,0.0000063308818,0.12810174,
462,50,80.5,69.5,7,39995.21468,510,506.2704046,9.713518276,12.31276609,14.21439088,0.0000913182023,0.1244439,
463,50,78.7,70.5,13,39940,510,510,16.32537524,16.64310078,14.76405652,0.00009031635565,0.1219713,
464,50,79.4,69.3,19,39940,510,505.58706,8.307577491,23.50785748,4.176355755,0.0002469084679,0.12365928,
465,50,78.7,69.5,25,40055,510,505.2319029,11.16016783,18.17384241,10.10530476,0.0001211493964,0.12349848,
466,50,79.3,70.4,31,40055,508.4155225,508.7511175,4.973457663,8.266333122,9.522345184,0.000001344119328,0.12901182,
467,50,80.5,70.4,37,40055,510,510,20.07361839,13.87365601,5.990360447,0.00004169736281,0.12797946,
468,50,80.9,70.1,43,39957.43758,510,506.4799121,16.55993491,19.38953617,15.67915149,0.0002311140804,0.12025704,
469,50,79.9,70.1,49,39977.99371,510,508.1783976,5.540806895,9.36708088,16.73363692,0.00009828170049,0.1248,
470,50,82.2,70,55,39940,510,508.5145185,18.17703364,17.83184821,21.89959682,0.0003219374825,0,
471,50,84.2,70.9,61,39940,510,510,14.93413115,20.15224359,5.61101615,0.0001642781231,0.12476412,
472,50,85.7,70,67,39940,510,510,5.651299614,7.679693285,12.86424597,0.00001901490708,0.12754542,
473,50,85.3,70.4,73,40055,510,510,9.861939204,11.15538818,9.212205441,0.000003031857084,0.12765258,
474,50,86.6,69.2,79,40055,510,509.0631469,12.86518719,1.36846408,14.21026997,0.0001350315814,0.13012056,
475,50,88.4,70.8,85,39940,510,508.1718883,1.617333593,13.58916657,8.051881516,0.00001798633605,0.12698844,
476,50,87.6,70.6,91,40055,510,506.856164,-0.7028246069,-4.403521166,15.87727275,0.00038576885,0,
477,50,89.6,69,97,40047.97867,510,510,4.173863275,10.20768611,14.2535579,0.00002458094711,0.12550866,
478,50,90.3,69.4,103,40020.82637,510,510,3.39822284,14.85655296,17.28508457,0.0001022746977,0.1216905,
479,50,92.4,69,109,40055,510,510,16.61360439,13.17606444,19.55445511,0.0001354736459,0.12144852,
480,50,95.2,71,115,40055,510,500.4414337,5.214002009,11.87431177,14.51670406,0.0002693514258,0.12450216,
481,50,95.9,70.8,121,39940,510,509.0723775,13.64104494,11.69614363,13.94525127,0.00003662552893,0.12490662,
482,50,98.1,69.2,127,39946.34912,510,510,5.154783347,11.5541825,3.469089053,0.00006081148002,0.13044852,
483,50,96.2,69.5,133,40055,510,510,3.081422928,9.015903988,6.065169591,0.00002249668429,0.13050066,
484,50,96.3,70.8,139,40055,510,510,7.969315054,7.98965613,9.078864935,0.000006980772491,0.12940434,
485,50,97.3,70.8,145,40055,510,510,5.717625504,11.77745255,19.01136313,0.0001129913275,0.12234426,
486,50,98.3,70.1,151,39956.57781,510,510,9.625195381,8.580948271,22.65776136,0.0002168964293,0.1220553,
487,50,100,69.8,157,40016.2567,510,510,8.825840843,20.32376482,12.24475465,0.000148836895,0.12133644,
488,50,98.5,70,163,40055,510,510,7.273278086,6.088437953,7.815450277,0.00002723798352,0.13107774,
489,50,99.6,70.5,169,39940,510,510,11.14117742,-8.553415096,6.488327278,0.0004764691317,0.1397748,
490,50,100,69.8,175,39940,510,510,12.97789988,13.37138046,5.862811173,0.00003908625299,0.1282329,
